Name,Price,Ingredients,Product_Link,Category
Lanolips 101 Ointment Multi-Balm - Coconutter 10g,£8.99,"Lanolin*, Flavour*, Tocopherol Acetate* (Vitamin E), Cocos Nucifera (Coconut) Oil*. *Naturally Derived.",https://www.lookfantastic.com/lanolips-101-ointment-multi-balm-coconutter-10g/11858968.html,Lip Balm
Lanolips Tinted SPF30 Balm - Rose 12.5g,£8.99,"Lanolin*, Theobroma (Cocoa) Cacao Seed Butter*, Beeswax*, Ethylhexyl Methoxycinnamate (SPF), Benzophenone-3 (SPF), Butyl Methoxydibenzoylmethane (SPF), Butyrospermum Parkii (Shea) Butter*, Titanium Dioxide*, Octocrylene (SPF), Ricinus Communis (Castor) Seed Oil*, Vitis Vinifera (Grape) Seed Oil, Tocopherol (Vit E), (Nat) Aroma*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Cocos Nucifera (Coconut) Oil*, Alcohol*, CI 15850, CI 19140, CI 17200, Hydrogenated Polydecene, Hydroxystearic Acid, Talc*, CI 77492, CI 77491 *Naturally Derived.",https://www.lookfantastic.com/lanolips-tinted-spf30-balm-rose-12.5g/11121836.html,Lip Balm
LANEIGE Lip Glowy Balm - Grapefruit 10g,£17.50,"Grapefruit: Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/ Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Diisostearyl Malate, Polybutene, Phytosteryl Isostearyl Dimer Dilinoleate, Microcrystalline Wax/Ceramicrocristallina/Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Sucrose Tetrastearate Triacetate, Synthetic Wax, Ethylene/ Propylene/Styrene Copolymer, Mica, Astrocaryum Murumuru Seed Butter, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera Hydrocarbons/Cire Decandelilla, Butylene/Ethylene/Styrene Copolymer,Fragrance / Parfum, Limonene, Candelilla Wax Esters,Dimethicone, Dehydroacetic Acid, Methicone, Coperniciacerifera (Carnauba) Wax /Copernicia Cerifera Cera/Ciredecarnauba, Polyglyceryl-2 Triisostearate, Red 6 (CI 15850), Citral, Linalool, Benzylbenzoate, Propylene Glycol, Water/Aqua/Eau, Rubusidaeus (Raspberry) Fruit Extract,Citrus Aurantium Dulcis (Orange) Fruit Extract, Butylene Glycol, BHT, Actinidia Chinensis (Kiwi) Fruit Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Prunusarmeniaca (Apricot) Kernel Extract,Alcohol, Phenoxyethanol.",https://www.lookfantastic.com/laneige-lip-glowy-balm-grapefruit-10g/13319825.html,Lip Balm
Burt's Bees Lip Balm - Ultra Conditioning 4.25g,£4.49,,https://www.lookfantastic.com/burt-s-bees-lip-balm-ultra-conditioning-4.25g/10591864.html,Lip Balm
NARS Afterglow Lip Balm 3g (Various Shades),£18.20,,https://www.lookfantastic.com/nars-afterglow-lip-balm-3g-various-shades/12436381.html,Lip Balm
Uriage Bariéderm Lip Balm 15ml,£7.69,"Paraffinum Liquidum (Mineral Oil), Cera Microcristallina (Microcrystalline Wax), Paraffin, Hydrogenated Polydecene, Dimethicone, Triacontanyl Pvp, Dipentaerythrityl Tetrahydroxystearate/Tetraisostearate, Glycerin, Squalane, Brassica Campestris (Rapeseed) Sterols, Tocopheryl Acetate, Synthetic Wax, Ethylene/Propylene Copolymer, Polyethylene, Polyquaternium-61, Bht",https://www.lookfantastic.com/uriage-bariederm-lip-balm-15ml/11241898.html,Lip Balm
La Roche-Posay Cicaplast Gel B5 Pro-Recovery Skincare 40ml,£17.00,"Aqua/Water, Glycerin, Dimethicone, Panthenol, Pentylene Glycol, C30-45 Alkyl Dimethicone, Polybutene, Sodium Citrate, Peg/Ppg-18/18 Dimethicone, Zinc Gluconate, Madecassoside, Dimethiconol, Manganese Gluconate, Sodium Hyaluronate, Copper Gluconate, Caprylyl Glycol, Citric Acid, Polysorbate 20, Tocopherol.",https://www.lookfantastic.com/la-roche-posay-cicaplast-gel-b5-pro-recovery-skincare-40ml/11091814.html,Lip Balm
Burt's Bees 100% Natural Conditioning Lip Scrub with Exfoliating Honey Crystals,£7.49,"Mel, Ricinus Communis Seed Oil, Olus Oil, Acacia Senegal Gum, Lanolin, Aroma*, Cera Alba, Theobroma Cacao Seed Butter, Glyceryl Behenate, Silica, Rebaudioside A, Limonene *Natural Flavour/Aroma Naturel",https://www.lookfantastic.com/burt-s-bees-100-natural-conditioning-lip-scrub-with-exfoliating-honey-crystals/11747475.html,Lip Balm
NARS Afterglow Lip Balm 3g (Various Shades),£18.20,,https://www.lookfantastic.com/nars-afterglow-lip-balm-orgasm/11761858.html,Lip Balm
Burt's Bees Pomegranate Lip Balm Tube,£4.49,"Helianthus Annuus Seed Oil, Cera Alba, Cocos Nucifera Oil, Ricinus Communis Seed Oil, Lanolin, Aroma*, Punica Granatum Seed Oil, Tocopherol, Rosmarinus Officinalis Leaf Extract, Glycine Soja Oil, Canola Oil (Huile De Colza), Carmine, Benzyl Salicylate, Cinnamal, Citral, Eugenol, Geraniol, Hydroxycitronellal, Limonene, Linalool *Natural Flavour/Arôme Naturel",https://www.lookfantastic.com/burt-s-bees-pomegranate-lip-balm-tube/10302542.html,Lip Balm
LANEIGE Lip Glowy Balm - Peach 10g,£17.50,"Peach: Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/ Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated Poly (C6-14 Olefin), Diisostearyl Malate, Polybutene, Phytosteryl Isostearyl Dimer Dilinoleate, Microcrystalline Wax/Ceramicrocristallina/Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Sucrose Tetrastearate Triacetate, Synthetic Wax, Ethylene/ Propylene/Styrene Copolymer, Mica, Astrocaryum Murumuru Seed Butter, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera Hydrocarbons/Cire Decandelilla, Butylene/Ethylene/Styrene Copolymer,Fragrance/Parfum, Limonene, Candelilla Wax Esters,Dimethicone, Dehydroacetic Acid, Methicone, Coperniciacerifera (Carnauba) Wax /Copernicia Cerifera Cera/Ciredecarnauba, Polyglyceryl-2 Triisostearate, Red 6 (CI 15850), Citral, Linalool, Benzylbenzoate, Propylene Glycol, Water/Aqua/Eau, Rubusidaeus (Raspberry) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Butylene Glycol, BHT, Actinidia Chinensis (Kiwi) Fruit Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Prunusarmeniaca (Apricot) Kernel Extract,Alcohol, Phenoxyethanol.",https://www.lookfantastic.com/laneige-lip-glowy-balm-peach-10g/13319826.html,Lip Balm
Omorovicza Perfecting Lip Balm (10ml),£28.80,"Ricinus Communis (Castor) Seed Oil, Diisostearyl Polyglyceryl-3 Dimer Dilinoleate, Cera Alba (Beeswax), Theobroma Cacao (Cocoa) Seed Butter, Ethylhexyl Palmitate, Butyrospermum Parkii (Shea Butter), Lanolin, Prunus Domestica (Plum) Seed Extract, Prunus Armeniaca (Apricot) Kernel Oil, Menthyl PCA, Helianthus Annuus (Sunflower) Seed Oil, Benzyl Alcohol, Aroma (Flavor), Tribehenin, Safflower Oil/Palm Oil Aminopropanediol Esters, Calendula Officinalis Flower Extract, Ascorbyl Tetraisopalmitate, Tocopherol, Silica Dimethyl Silylate, Aqua (Water), Dehydroacetic Acid, Phenoxyethanol, Sorbitan Isostearate, Sodium Saccharin, Eucalyptus Globulus Leaf Oil, Mica, Limonene, Benzyl Salicylate, Linalool, Sodium Hyaluronate, Citronellol, Palmitoyl Oligopeptide, CI 77891 (Titanium Dioxide), CI 75470 (Carmine).",https://www.lookfantastic.com/omorovicza-perfecting-lip-balm-10ml/10872699.html,Lip Balm
